Радиация,Температура,Время,CEM43,real_survival,synthetic_mean,synthetic_median,synthetic_count,abs_mean_error,abs_median_error,Примененные_правила,Evidence_IDs,Объяснение
0.0,42.0,45.0,11.25,0.53,0.5231118631830908,0.53,67,0.006888136816909252,0.0,CL1; CL3,E03; E05; E06,CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL3: это самый мягкий тепловой режим в наблюдаемом дизайне и он должен давать наибольшую выживаемость среди трех терморежимов. Без радиации различия между точками определяются главным образом тепловым порядком режимов.
0.0,43.0,45.0,45.0,0.18,0.1834187277934183,0.1752640070743184,67,0.0034187277934183136,0.004735992925681581,CL1; CL3; CL4,E01; E03; E05; E06; E14,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL2: режим попадает в окно 41-43 C и 30-60 мин, где по статьям ожидается подавление репарации ДНК и радиосенсибилизация. CL3/CL4: режим должен лежать между 42C_45min и 44C_30min по степени повреждения. Без радиации различия между точками определяются главным образом тепловым порядком режимов."
0.0,44.0,30.0,60.0,0.021,0.021153804740379818,0.021095158018898844,67,0.00015380474037981692,9.515801889884226e-05,CL1; CL3; CL4,E01; E03; E05; E06; E14,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL4: температура выше 43 C смещает механизм к более выраженному direct heat kill. CL3: в наблюдаемом домене этот режим не должен выглядеть мягче, чем 43C_45min. Без радиации различия между точками определяются главным образом тепловым порядком режимов."
2.0,42.0,45.0,11.25,0.26,0.2691891311983198,0.26515510157107275,67,0.009189131198319767,0.00515510157107274,CL1; CL2; CL3,E03; E04; E05; E06,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL2: 42 C, 45 мин остается внутри sensitizing window и может усиливать радиочувствительность без выхода в более жесткий тепловой режим. CL3: это самый мягкий тепловой режим в наблюдаемом дизайне и он должен давать наибольшую выживаемость среди трех терморежимов."
2.0,43.0,45.0,45.0,0.051,0.052050217762750206,0.05103857826160376,67,0.0010502177627502093,3.8578261603763875e-05,CL1; CL2; CL3; CL4,E01; E03; E04; E05; E06; E14,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL2: режим попадает в окно 41-43 C и 30-60 мин, где по статьям ожидается подавление репарации ДНК и радиосенсибилизация. CL3/CL4: режим должен лежать между 42C_45min и 44C_30min по степени повреждения."
2.0,44.0,30.0,60.0,0.008,0.008112926960357501,0.008212590217540457,67,0.00011292696035750116,0.00021259021754045648,CL1; CL3; CL4,E01; E03; E05; E06; E14,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL4: температура выше 43 C смещает механизм к более выраженному direct heat kill. CL3: в наблюдаемом домене этот режим не должен выглядеть мягче, чем 43C_45min."
4.0,42.0,45.0,11.25,0.26,0.2627145662447524,0.2592563658808575,67,0.0027145662447524144,0.0007436341191425222,CL1; CL2; CL3,E03; E04; E05; E06,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL2: 42 C, 45 мин остается внутри sensitizing window и может усиливать радиочувствительность без выхода в более жесткий тепловой режим. CL3: это самый мягкий тепловой режим в наблюдаемом дизайне и он должен давать наибольшую выживаемость среди трех терморежимов."
4.0,43.0,45.0,45.0,0.051,0.05093056628295789,0.05052519842410921,66,6.943371704210693e-05,0.00047480157589078337,CL1; CL2; CL3; CL4,E01; E03; E04; E05; E06; E14,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL2: режим попадает в окно 41-43 C и 30-60 мин, где по статьям ожидается подавление репарации ДНК и радиосенсибилизация. CL3/CL4: режим должен лежать между 42C_45min и 44C_30min по степени повреждения."
4.0,44.0,30.0,60.0,0.008,0.007965732976451218,0.007969655560767105,66,3.4267023548782e-05,3.0344439232894704e-05,CL1; CL3; CL4,E01; E03; E05; E06; E14,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL4: температура выше 43 C смещает механизм к более выраженному direct heat kill. CL3: в наблюдаемом домене этот режим не должен выглядеть мягче, чем 43C_45min."
6.0,42.0,45.0,11.25,0.022,0.022233068729814794,0.021837353631713012,66,0.00023306872981479487,0.00016264636828698664,CL1; CL2; CL3,E03; E04; E05; E06,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL2: 42 C, 45 мин остается внутри sensitizing window и может усиливать радиочувствительность без выхода в более жесткий тепловой режим. CL3: это самый мягкий тепловой режим в наблюдаемом дизайне и он должен давать наибольшую выживаемость среди трех терморежимов."
